Year,Month,Day,Car,Showroom Price (BND)
2021,12,6,ALFA ROMEO GIULIA 620 GME 2.0L AUTO SEDAN PETROL,"$63,900.00"
2021,12,6,ALFA ROMEO GIULIA 620 QV V6 2.9L AUTO SEDAN PETROL,"$139,973.00"
2021,12,6,ALFA ROMEO GIULIA VELOCE 620 2.0L AUTO GME 2000 SEDAN PETROL,"$72,700.00"
2021,12,6,AUDI A4 2.0L TFSI (40) S-TRONIC AUTO LIMOUSINE PETROL,"$70,243.00"
2021,12,6,AUDI A7 3.0L TFSI QUATTRO S-TRONIC AUTO SPORTBACK PETROL,"$128,197.00"
2021,12,6,AUDI A8L 3.0L (55) TFSi QUATTRO TIPTRONIC AUTO SEDAN PETROL,"$181,740.00"
2021,12,6,AUDI Q2 1.4L TFSI (35) S-TRONIC AUTO SUV PETROL (S-LINE),"$53,918.00"
2021,12,6,AUDI Q3 1.4L TFS AUTO S-TRONIC SUV PETROL (ADVANCE LINE),"$59,977.00"
2021,12,6,AUDI Q3 1.4L TFSI (35) AUTO S-TRONIC SPORTBACK PETROL (S-LINE),"$67,293.00"
2021,12,6,AUDI Q3 1.4L TFSI (35) AUTO S-TRONIC SUV PETROL (ADVANCE LINE) MODEL YEAR: 2022,"$62,549.00"
2021,12,6,AUDI Q3 2.0L TFSI S-TRONIC AUTO SUV PETROL (ADVANCED LINE),"$67,053.00"
2021,12,6,AUDI Q5 2.0L TFSI QUATTRO S-TRONIC AUTO SUV PETROL (S-LINE BE),"$89,800.00"
2021,12,6,AUDI Q5 2.0L TFSI QUATTRO S-TRONIC AUTO SUV PETROL (S-LINE),"$82,800.00"
2021,12,6,AUDI Q7 2.0L TFSI (45) QUATTRO TIPTRONIC AUTO AWD 5-SEATERS SUV PETROL,"$111,689.00"
2021,12,6,AUDI Q7 3.0L TFSI (55) QUATTRO TIPTRONIC AUTO AWD 5-SEATERS SUV PETROL,"$128,236.00"
2021,12,6,AUDI Q7 3.0L TFSI (55) QUATTRO TIPTRONIC AUTO AWD 5-SEATERS SUV PETROL (S- LINE),"$137,371.00"
2021,12,6,AUDI Q8 3.0L TFSI QUATTRO TIPTRONIC AUTO AWD 5-SEATERS SUV PETROL (S-LINE BE),"$139,659.00"
2021,12,6,AUDI RS4 2.9L TFSI QUATTRO TIPTRONIC AUTO AVANT (WAGON) PETROL,"$161,400.00"
2021,12,6,AUDI RS5 2.9L TFSI QUATTRO TIPTRONIC AUTO SPORTBACK PETROL,"$164,354.00"
2021,12,6,BAIC BJ40L 2.0L AUTO OFF-ROAD SUV PETROL,"$46,571.00"
2021,12,6,BMW 118i MSPORT 1.6L AUTO 5-DOORS HATCHBACK PETROL,"$67,876.00"
2021,12,6,BMW 218i GRAN COUPE M SPORT 1.5L AUTO 4-DOORS PETROL,"$76,839.00"
2021,12,6,BMW 320i SPORT 2.0L AUTO SALOON PETROL,"$88,553.00"
2021,12,6,BMW 330i LUXURY 2.0L AUTO SALOON PETROL,"$90,141.00"
2021,12,6,BMW 420i COUPE 2.0L AUTO 2-DOORS PETROL,"$113,038.00"
2021,12,6,BMW 420i GRAN COUPE SPORT 2.0L AUTO 4-DOORS PETROL,"$89,045.00"
2021,12,6,BMW 520i LUXURY 2.0L AUTO SALOON PETROL,"$108,812.00"
2021,12,6,BMW 520i M SPORT 2.0L AUTO SALOON PETROL,"$116,953.00"
2021,12,6,BMW M135i XDRIVE 2.0L AUTO RHD 4WD WAGON PETROL,"$104,593.00"
2021,12,6,BMW M2 COMPETITION 3.0L AUTO 2-DOORS COUPE PETROL,"$156,802.00"
2021,12,6,BMW M235i XDrive 3.0L AUTO 2-DOORS COUPE PETROL,"$111,673.00"
2021,12,6,BMW M4 COMPETITION 3.0L AUTO 2-DOORS COUPE PETROL,"$208,534.00"
2021,12,6,BMW X1 SDRIVE 20i XLINE 2.0L AUTO 4WD SUV PETROL,"$76,695.00"
